stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
4835,BiRoHagE,EBD Birch Row past Hagadorn,BIRCH ROW DR & N HAGADORN RD,42.758653,-84.462729,,,,,,0
4836,BiRoBriE,EBD Birch Row past Briarwick,6180 BIRCH ROW DR & INNKEEPERS CT,42.760028,-84.460883,,,,,,0
4837,BiRoCobE,SBD Birch Row after Cobbler's,N HAGADORN RD & INNKEEPERS CT,42.760882,-84.463363,,,,,,0
4838,HagFarrS,SBD Hagadorn at Farrington,N HAGADORN RD & FARRINGTON CT,42.759048,-84.463859,,,,,,0
4839,HagHoriS,SBD Hagadorn before Horizon,N HAGADORN RD & HORIZON DR,42.756729,-84.462438,,,,,,0
4840,HagApplS,SBD Hagadorn before Applegate,1801 N HAGADORN RD & CRESTWOOD DR,42.75289,-84.462457,,,,,,0
4841,HagCresS,SBD Hagadorn past Crestwood,N HAGADORN RD & FORTUNE DR,42.751002,-84.462461,,,,,,0
4842,AltBurS1,SBD Alton Street before Whitehills,ALTON RD & WHITEHILLS DR,42.74541,-84.472338,,,,,,0
4844,BurOlHiW,WBD Burcham past Old Hickory,BURCHAM DR & OLD HICKORY LN,42.740725,-84.476892,,,,,,0
4846,HagGlenS,SBD Hag across from Glenwood Apt,HAGADORN RD & BRIARCLIFF ST,42.715808,-84.462394,,,,,,0
4848,AbbLkLaS,SBD Abbot  past Lake Lansing,2205 ABBOT RD & E LAKE LANSING RD,42.758673,-84.483804,,,,,,0
4851,AurJollN,NBD Aurelius past Jolly,AURELIUS RD & E JOLLY RD,42.683796,-84.523391,,,,,,0
4854,ProvAurE,EBD Provincial House past Aurelius,PROVINCIAL HOUSE DR & CALLIHAN CT,42.696411,-84.520922,,,,,,0
4855,KalaRegW,WBD Kalamazoo past Regent,E KALAMAZOO ST & REGENT ST,42.730049,-84.524165,,,,,,0
4856,KalaLesE,EBD Kalamazoo past Leslie,E KALAMAZOO ST & LESLIE ST,42.729941,-84.524509,,,,,,0
4861,TimSquaS,SBD Times Square past Marsh,TIMES SQUARE DR & 5TH AVE,42.729506,-84.409782,,,,,,0
4862,CentMarE,EBD Central Park past Marsh,CENTRAL PARK DR & MARSH RD,42.72714,-84.413866,,,,,,0
4863,TimeSquN,NBD Times Square past Central Park,TIMES SQUARE DR & MARSH RD,42.728601,-84.409035,,,,,,0
4864,OldLanW,WBD Old Lansing past Lansing Rd,OLD LANSING RD & OLDS AVE,42.719859,-84.594894,,,,,,0
4865,CedKernN,NBD Cedar at Kern,N CEDAR ST & KERNS RD,42.591198,-84.460415,,,,,,0
4871,ETCBravW,WBD ETC Drive by Bravo,SAMS WAY & EASTWOOD TOWNE CENTER,42.762813,-84.516573,,,,,,0
4872,WalMartE,EBD @ Sams Club,EASTWOOD TOWNE CENTER & LAKE LANSING RD,42.764596,-84.519434,,,,,,0
4873,WalMartW,WBD @ Wal Mart,EASTWOOD TOWNE CENTER & EASTWOOD TOWNE CENTER,42.764748,-84.52011,,,,,,0
4874,LkLaMjLL,WBD Lake Lansing past Meijer Ent.,W LAKE LANSING RD & MEIJER LAKE LANSING LOT,42.760835,-84.501853,,,,,,0
4876,MLKKzo1S,SBD MLK before Kalamazoo,S MARTIN LUTHER KING JR BLVD & KINGSLEY CT,42.730414,-84.567317,,,,,,0
4890,HighNorS,SBD High St past North,1559 N HIGH ST & NEW YORK AVE,42.751335,-84.538802,,,,,,0
4891,HighGrRS,SBD High St before Grand River,1221 N HIGH ST & DRURY LN,42.747791,-84.538768,,,,,,0
